"title","type","text"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","                        THE PROLOGUE"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","                        Enter Chorus."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Chor. Two households, both alike in dignity,"
"The Tragedy of Romeo and Juliet","Tragedy","    In fair Verona, where we lay our scene,"
"The Tragedy of Romeo and Juliet","Tragedy","    From ancient grudge break to new mutiny,"
"The Tragedy of Romeo and Juliet","Tragedy","    Where civil blood makes civil hands unclean."
"The Tragedy of Romeo and Juliet","Tragedy","    From forth the fatal loins of these two foes"
"The Tragedy of Romeo and Juliet","Tragedy","    A pair of star-cross'd lovers take their life;"
"The Tragedy of Romeo and Juliet","Tragedy","    Whose misadventur'd piteous overthrows"
"The Tragedy of Romeo and Juliet","Tragedy","    Doth with their death bury their parents' strife."
"The Tragedy of Romeo and Juliet","Tragedy","    The fearful passage of their death-mark'd love,"
"The Tragedy of Romeo and Juliet","Tragedy","    And the continuance of their parents' rage,"
"The Tragedy of Romeo and Juliet","Tragedy","    Which, but their children's end, naught could remove,"
"The Tragedy of Romeo and Juliet","Tragedy","    Is now the two hours' traffic of our stage;"
"The Tragedy of Romeo and Juliet","Tragedy","    The which if you with patient ears attend,"
"The Tragedy of Romeo and Juliet","Tragedy","    What here shall miss, our toil shall strive to mend."
"The Tragedy of Romeo and Juliet","Tragedy","                                                         [Exit.]"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","ACT I. Scene I."
"The Tragedy of Romeo and Juliet","Tragedy","Verona. A public place."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","Enter Sampson and Gregory (with swords and bucklers) of the house"
"The Tragedy of Romeo and Juliet","Tragedy","of Capulet."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. Gregory, on my word, we'll not carry coals."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Greg. No, for then we should be colliers."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. I mean, an we be in choler, we'll draw."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Greg. Ay, while you live, draw your neck out of collar."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. I strike quickly, being moved."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Greg. But thou art not quickly moved to strike."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. A dog of the house of Montague moves me."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Greg. To move is to stir, and to be valiant is to stand."
"The Tragedy of Romeo and Juliet","Tragedy","    Therefore, if thou art moved, thou runn'st away."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. A dog of that house shall move me to stand. I will take"
"The Tragedy of Romeo and Juliet","Tragedy","    the wall of any man or maid of Montague's."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Greg. That shows thee a weak slave; for the weakest goes to the"
"The Tragedy of Romeo and Juliet","Tragedy","    wall."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. 'Tis true; and therefore women, being the weaker vessels,"
"The Tragedy of Romeo and Juliet","Tragedy","    are ever thrust to the wall. Therefore I will push Montague's men"
"The Tragedy of Romeo and Juliet","Tragedy","    from the wall and thrust his maids to the wall."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Greg. The quarrel is between our masters and us their men."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. 'Tis all one. I will show myself a tyrant. When I have"
"The Tragedy of Romeo and Juliet","Tragedy","    fought with the men, I will be cruel with the maids- I will cut off"
"The Tragedy of Romeo and Juliet","Tragedy","    their heads."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Greg. The heads of the maids?"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. Ay, the heads of the maids, or their maidenheads."
"The Tragedy of Romeo and Juliet","Tragedy","    Take it in what sense thou wilt."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Greg. They must take it in sense that feel it."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. Me they shall feel while I am able to stand; and 'tis known I"
"The Tragedy of Romeo and Juliet","Tragedy","    am a pretty piece of flesh."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Greg. 'Tis well thou art not fish; if thou hadst, thou hadst"
"The Tragedy of Romeo and Juliet","Tragedy","    been poor-John. Draw thy tool! Here comes two of the house of"
"The Tragedy of Romeo and Juliet","Tragedy","    Montagues."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","           Enter two other Servingmen [Abram and Balthasar]."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Samp. My naked weapon is out. Quarrel! I will back thee."
